"id","blockchain","currency","address","rotation_order","active","last_assigned_at","created_at"
"1","Fantom","FTM","0x629953272865Fb612aBf4dE8f4CC1d0313Ae5d1C","0","true",,"""2026-09-01T11:11:52.530Z"""
"2","Cronos","CRO","0x40D31F72aB857d7F20b91Ad18e86EFD65CA8034E","0","true",,"""2026-09-01T11:11:52.546Z"""
"3","Kava","KAVA","kava1ua6ffv206m6wjkwukkyrcgksk6894fpamaahpx","0","true",,"""2026-09-01T11:11:52.562Z"""
"4","SUI","SUI","0xdf27ffdfa94f2abcfee5e6149a959b54cc636ccd008041397e9b25ab7b55fb54","0","true",,"""2026-09-01T11:11:52.575Z"""
"5","Ethereum","ETH","0xcd0dBCF3181AE3d0EB3C3bA564C9d7CEcd5A7C22","0","true","""2026-09-01T11:24:13.431Z""","""2026-09-01T11:11:52.588Z"""
"6","Ethereum","ETH","0x1dC7166952469B04B8E2413fc44Bf09cd41B249f","1","true","""2026-09-01T11:52:06.441Z""","""2026-09-01T11:11:52.588Z"""
"7","Ethereum","ETH","0x8a010DfC13e5B7A39c24B132739bDd6AB7CE33F7","2","true","""2026-09-01T12:57:41.549Z""","""2026-09-01T11:11:52.588Z"""
"8","Ethereum","ETH","0x34F55635bc3dbdEDF46f20c33ED8c73601E62e92","3","true","""2026-09-01T12:58:32.500Z""","""2026-09-01T11:11:52.588Z"""
"9","Ethereum","ETH","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","4","true",,"""2026-09-01T11:11:52.588Z"""
"10","Ethereum","ETH","0xb36C7f12245d35646f7cADAb59E4a9d126b26D5A","5","true",,"""2026-09-01T11:11:52.588Z"""
"11","BNB Chain","BNB","0xcd0dBCF3181AE3d0EB3C3bA564C9d7CEcd5A7C22","0","true","""2026-09-01T12:57:13.172Z""","""2026-09-01T11:11:52.605Z"""
"12","BNB Chain","BNB","0x1dC7166952469B04B8E2413fc44Bf09cd41B249f","1","true",,"""2026-09-01T11:11:52.605Z"""
"13","BNB Chain","BNB","0x8a010DfC13e5B7A39c24B132739bDd6AB7CE33F7","2","true",,"""2026-09-01T11:11:52.605Z"""
"14","BNB Chain","BNB","0x34F55635bc3dbdEDF46f20c33ED8c73601E62e92","3","true",,"""2026-09-01T11:11:52.605Z"""
"15","BNB Chain","BNB","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","4","true",,"""2026-09-01T11:11:52.605Z"""
"16","BNB Chain","BNB","0xb36C7f12245d35646f7cADAb59E4a9d126b26D5A","5","true",,"""2026-09-01T11:11:52.605Z"""
"17","Polygon","MATIC","0xcd0dBCF3181AE3d0EB3C3bA564C9d7CEcd5A7C22","0","true",,"""2026-09-01T11:11:52.628Z"""
"18","Polygon","MATIC","0x1dC7166952469B04B8E2413fc44Bf09cd41B249f","1","true",,"""2026-09-01T11:11:52.628Z"""
"19","Polygon","MATIC","0x8a010DfC13e5B7A39c24B132739bDd6AB7CE33F7","2","true",,"""2026-09-01T11:11:52.628Z"""
"20","Polygon","MATIC","0x34F55635bc3dbdEDF46f20c33ED8c73601E62e92","3","true",,"""2026-09-01T11:11:52.628Z"""
"21","Polygon","MATIC","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","4","true",,"""2026-09-01T11:11:52.628Z"""
"22","Polygon","MATIC","0xb36C7f12245d35646f7cADAb59E4a9d126b26D5A","5","true",,"""2026-09-01T11:11:52.628Z"""
"23","Arbitrum","ETH","0xcd0dBCF3181AE3d0EB3C3bA564C9d7CEcd5A7C22","0","true",,"""2026-09-01T11:11:52.641Z"""
"24","Arbitrum","ETH","0x1dC7166952469B04B8E2413fc44Bf09cd41B249f","1","true",,"""2026-09-01T11:11:52.641Z"""
"25","Arbitrum","ETH","0x8a010DfC13e5B7A39c24B132739bDd6AB7CE33F7","2","true",,"""2026-09-01T11:11:52.641Z"""
"26","Arbitrum","ETH","0x34F55635bc3dbdEDF46f20c33ED8c73601E62e92","3","true",,"""2026-09-01T11:11:52.641Z"""
"27","Arbitrum","ETH","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","4","true",,"""2026-09-01T11:11:52.641Z"""
"28","Arbitrum","ETH","0xb36C7f12245d35646f7cADAb59E4a9d126b26D5A","5","true",,"""2026-09-01T11:11:52.641Z"""
"29","Avalanche","AVAX","0xcd0dBCF3181AE3d0EB3C3bA564C9d7CEcd5A7C22","0","true",,"""2026-09-01T11:11:52.657Z"""
"30","Avalanche","AVAX","0x1dC7166952469B04B8E2413fc44Bf09cd41B249f","1","true",,"""2026-09-01T11:11:52.657Z"""
"31","Avalanche","AVAX","0x8a010DfC13e5B7A39c24B132739bDd6AB7CE33F7","2","true",,"""2026-09-01T11:11:52.657Z"""
"32","Avalanche","AVAX","0x34F55635bc3dbdEDF46f20c33ED8c73601E62e92","3","true",,"""2026-09-01T11:11:52.657Z"""
"33","Avalanche","AVAX","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","4","true",,"""2026-09-01T11:11:52.657Z"""
"34","Avalanche","AVAX","0xb36C7f12245d35646f7cADAb59E4a9d126b26D5A","5","true",,"""2026-09-01T11:11:52.657Z"""
"35","Base","ETH","0xcd0dBCF3181AE3d0EB3C3bA564C9d7CEcd5A7C22","0","true",,"""2026-09-01T11:11:52.672Z"""
"36","Base","ETH","0x1dC7166952469B04B8E2413fc44Bf09cd41B249f","1","true",,"""2026-09-01T11:11:52.672Z"""
"37","Base","ETH","0x8a010DfC13e5B7A39c24B132739bDd6AB7CE33F7","2","true",,"""2026-09-01T11:11:52.672Z"""
"38","Base","ETH","0x34F55635bc3dbdEDF46f20c33ED8c73601E62e92","3","true",,"""2026-09-01T11:11:52.672Z"""
"39","Base","ETH","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","4","true",,"""2026-09-01T11:11:52.672Z"""
"40","Base","ETH","0xb36C7f12245d35646f7cADAb59E4a9d126b26D5A","5","true",,"""2026-09-01T11:11:52.672Z"""
"41","Solana","SOL","DiihedY21VLTHt2zYh3nQGhXVRYgnucQCTLpw1bk8jt2","0","true","""2026-09-01T12:37:26.391Z""","""2026-09-01T11:11:52.690Z"""
"42","Solana","SOL","12C5UkfbB4doZm4nF7n6cE6LKN5QbsyL4pf3XD2T3Fy5","1","true","""2026-09-01T13:08:45.402Z""","""2026-09-01T11:11:52.690Z"""
"43","Solana","SOL","3FiWSpp7TBqCkvqzqrVAJa474dmSNfTDHc9RpeMXp3ZJ","2","true","""2026-09-01T14:35:53.275Z""","""2026-09-01T11:11:52.690Z"""
"44","Solana","SOL","HUeA4VAMRkc8sGw44B2v9wwL4KtRuEA2gXM4N1SUuAYx","3","true","""2026-09-01T15:46:38.774Z""","""2026-09-01T11:11:52.690Z"""
"45","Solana","SOL","FChANxTSwRJsRTC8EnstVKgJRKWV5r8GSQkaTHJ4Sy4B","4","true","""2026-09-01T16:10:37.883Z""","""2026-09-01T11:11:52.690Z"""
"46","Solana","SOL","E9WvJYNR1JzcVSpMokEwoL4N1dvJ5nSKySb68TZmZVES","5","true","""2026-09-01T19:25:42.862Z""","""2026-09-01T11:11:52.690Z"""
"47","TRON","TRX","TE6eD6LZ9obGyJfnVkRaE4httKtngKrzL7","0","true",,"""2026-09-01T11:11:52.703Z"""
"48","TRON","TRX","TDeE4x8MpfKgHKu5ovGowzYgGQN3kqAKc2","1","true",,"""2026-09-01T11:11:52.703Z"""
"49","TRON","TRX","TFLvuypYkWCFjvo2iRL36ARZ3uyReEjRGx","2","true",,"""2026-09-01T11:11:52.703Z"""
"50","TON","TON","UQDglV289rowgg2KZbvshu8VJqg31F03HK8mJhbNOv55cdto","0","true",,"""2026-09-01T11:11:52.716Z"""
"51","TON","TON","UQDmRf66NWP1UxznPs1GP075n8KBKJfIVVpIlNdmAzbM9F_A","1","true",,"""2026-09-01T11:11:52.716Z"""
"52","Robinhood","ETH","0x8d0148A9bA1Dc3a8b5287759EBCae39983A50366","0","true","""2026-09-01T15:18:58.765Z""","""2026-09-01T15:17:51.162Z"""
"53","Robinhood","ETH","0x765cD9517a03b98e466532B3511582D4a63a9070","0","true","""2026-09-01T15:24:17.833Z""","""2026-09-01T15:21:10.335Z"""
"54","Robinhood","ETH","0x5Ff31ebD15024b2AEbe4066056710F1e6b5566fe","0","true","""2026-09-02T00:13:43.366Z""","""2026-09-01T15:21:55.424Z"""
"55","Robinhood","ETH","0xEe16F466bDc5Be21FaB94458319299627fED4598","0","true",,"""2026-09-01T15:22:35.929Z"""
"56","Robinhood","ETH","0x526170233903e92b73a6708D2fa21F5c016E7CD9","0","true",,"""2026-09-01T15:23:06.049Z"""
