"id","blockchain","currency","address","rotation_order","active","last_assigned_at","created_at"
"1","Fantom","FTM","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true",,"""2026-09-01T11:11:52.530Z"""
"2","Cronos","CRO","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true",,"""2026-09-01T11:11:52.546Z"""
"3","Kava","KAVA","kava12j2pga908e2kqdexmvumz2qktv69k3nuf4ndj6","0","true",,"""2026-09-01T11:11:52.562Z"""
"4","SUI","SUI","0x56aa7b3920f104c9b94d5f5897f154fa9017b9de82f25769d31e20e876cb4949","0","true",,"""2026-09-01T11:11:52.575Z"""
"5","Ethereum","ETH","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true","""2026-09-01T11:24:13.431Z""","""2026-09-01T11:11:52.588Z"""
"6","BNB Chain","BNB","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true","""2026-09-01T12:57:13.172Z""","""2026-09-01T11:11:52.605Z"""
"7","Polygon","MATIC","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true",,"""2026-09-01T11:11:52.628Z"""
"8","Arbitrum","ETH","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true",,"""2026-09-01T11:11:52.641Z"""
"9","Avalanche","AVAX","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true",,"""2026-09-01T11:11:52.657Z"""
"10","Base","ETH","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true",,"""2026-09-01T11:11:52.672Z"""
"11","Solana","SOL","ACRTLtTtafZgix2VcNLWnAb3NToqick2GYSwER6cNxK8","0","true","""2026-09-01T12:37:26.391Z""","""2026-09-01T11:11:52.690Z"""
"12","TRON","TRX","TX6naM4UCtLT6dzbT3xetNrE2yeusjMxan","0","true",,"""2026-09-01T11:11:52.703Z"""
"13","TON","TON","UQDJNfr04h-EcQIliPqBfYniQdr3b1OYlJdwR5Mu5Uvzhv_D","0","true",,"""2026-09-01T11:11:52.716Z"""
"14","Robinhood","ETH","0xeE511bF2dbf1b56671FC22334B367cD151090342","0","true","""2026-09-01T15:18:58.765Z""","""2026-09-01T15:17:51.162Z"""
